testing batch,Standardized_SMILES,True Values,Predictions
1,Cc1ccc2c(-c3nnc(SCCC(C)N4CCc5cc6c(cc5CC4)C(=O)N(C(C)C)C6)n3C)cccc2n1,5.6,5.245454545454545
1,NC1C(=O)NC1COc1ccc2ncc(F)c(CCC34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)c2n1,4.54,5.203636363636364
1,Cn1c(SCCCN2CCc3ccc4oc(C(F)(F)F)nc4c3CC2)nnc1-c1ccccc1,6.6,5.754545454545454
1,Cc1ccc2c(-c3nnc(SCCCN4CC5CC5(c5ccc(C#N)cc5)C4)n3C)cccc2n1,6.2,6.127272727272728
1,Cc1ncoc1-c1nnc(SCCCN2CCc3ccc4oc(C(C)(F)F)nc4c3CC2)n1C,5.6,5.7272727272727275
1,Cc1ncoc1-c1nnc(SCCCN2CCc3ccc4nc(C(C)(F)F)oc4c3CC2)n1C,5.3,5.936363636363637
1,c1ccc(-c2ccc(-c3c[nH]c(C4Cc5c([nH]c6ccccc56)C(C5CCOCC5)N4)n3)cc2)cc1,7.77,5.207272727272727
1,Cn1cc(C2(c3noc(CN)n3)NC(c3nc(-c4ccc(F)cn4)c[nH]3)Cc3c2[nH]c2ccccc32)cn1,5.43,4.957272727272728
1,O=C1OCc2c1cccc2-c1ccc(CCN2CCN(CCc3ccc([N+](=O)[O-])cc3)CC2)cc1,6.82,5.1427272727272735
1,CCc1nc2cc3c(c(C)c2o1)CCN(CCSc1nnc(-c2cccc4nc(C)ccc24)n1C)CC3,5.6,5.572727272727272
1,Cc1ncoc1-c1nnc(SCCCN2CC3CC3(c3cc(C(F)(F)F)ccc3F)C2)n1C,5.4,6.290909090909091
1,Cc1ncoc1-c1nnc(SCCCN2CC3CC3(c3cc(F)cc(C(F)(F)F)c3)C2)n1C,5.7,6.2
1,Cc1ncoc1-c1nnc(SCCCN2CC3CC3(c3cccc(C(F)(F)F)c3F)C2)n1C,5.5,6.109090909090909
1,Cc1ncoc1-c1nnc(SCCCN2CC3CC3(c3ccc(C(F)(F)F)c(F)c3)C2)n1C,6.2,6.145454545454545
1,Cc1ncoc1-c1nnc(SCCCN2CC3CC3(c3ccc(C(F)(F)F)cc3F)C2)n1C,6.1,6.290909090909091
1,Cc1ncoc1-c1nnc(SCCCN2CC3CC3(c3ccc(F)c(C(F)(F)F)c3)C2)n1C,5.7,6.145454545454545
1,Cc1nc(C)c(-c2nnc(SCCCN3CCC4CC4(c4ccc(C(F)(F)F)cc4)CC3)n2C)s1,6.2,6.4909090909090885
1,CCn1cc(C2(c3n[nH]c(=O)o3)NC(c3nc(-c4ccc(F)cn4)c[nH]3)Cc3c2[nH]c2ccccc32)cn1,4.65,5.3145454545454545
1,COc1cc(N2C(=O)N(c3ccc(-c4ccc(C(=O)O)c(Cl)c4)cc3)C(=O)C23CCN(Cc2ncccc2C)CC3)ncn1,5.24,4.575454545454546
1,Cc1cccnc1CN1CCC2(CC1)C(=O)N(c1ccc(-c3ccc(-c4cc[nH]n4)cc3)cc1)C(=O)N2c1cc(=O)[nH]cn1,5.09,5.202727272727273
1,CCOC(=O)C(F)(F)CCOc1ccc2ncc(F)c(CCC34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)c2n1,4.59,5.04909090909091
1,O=C1COc2ccc(CNC34CCC(CCc5c(F)cnc6ccc(OCCCCCO)nc56)(CC3)OC4)nc2N1,6.16,5.831818181818182
1,CCn1cc(C2(c3nn(C(C)C)c(=O)o3)NC(c3nc(-c4ccc(F)cn4)c[nH]3)Cc3c2[nH]c2ccccc32)cn1,5.11,5.250909090909091
1,COc1cc(N2C(=O)N(c3ccc(-c4ccc(C(=O)N(C)C)cc4)cc3)C(=O)C23CCN(Cc2ncccc2C)CC3)ncn1,5.05,4.841818181818183
1,Cc1cnc(-c2nnc(SCCCN3CCc4ccc5oc(C(F)(F)F)nc5c4CC3)n2C)cn1,5.9,5.8
1,Cc1nc(C2(c3cnn(CC4CC4)c3)NC(c3nc(-c4ccc(F)cn4)c[nH]3)Cc3c2[nH]c2ccccc32)no1,5.5,5.265454545454545
1,Cc1ccc2c(-c3nnc(SCCCN4CC5CC5(c5ccccc5)C4)n3C)cccc2n1,5.7,6.127272727272728
1,Cc1ncoc1-c1nnc(SCCCN2CCc3ccc4nc(C(F)(F)F)oc4c3CC2)n1C,5.3,6.0
1,Cc1ncoc1-c1nnc(SCCCN2CCc3ccc4oc(C(F)(F)F)nc4c3CC2)n1C,5.9,5.809090909090909
1,N#Cc1ccc(Cn2cncc2CN(CCCc2ccccc2)C2CCN(Cc3ccccc3)C2=O)cc1,7.62,5.278181818181818
1,Cc1ncoc1-c1nnc(SCCCN2CCc3cc4nc(C(C)C)oc4cc3CC2)n1C,5.4,5.918181818181818
1,COc1cc(N2C(=O)N(c3ccc(-c4ccc5[nH]ncc5c4)cc3)C(=O)C23CCN(Cc2ncccc2C)CC3)ncn1,5.33,5.295454545454546
1,COc1cc(N2C(=O)N(c3ccc(-c4ccc5[nH]cnc5c4)cc3)C(=O)C23CCN(Cc2ncccc2C)CC3)ncn1,4.82,5.240000000000001
1,COc1cc(N2C(=O)N(c3ccc(-c4ccc5c[nH]nc5c4)cc3)C(=O)C23CCN(Cc2ncccc2C)CC3)ncn1,6.14,5.324545454545456
1,COc1cc(-c2cn(CC(=O)N(Cc3ccc(F)cc3)C3C4CC5CC(C4)CC3C5)nn2)ccc1-n1cnc(C)c1,6.6,5.96
1,CCn1cc(C2(c3nnc(N(C)C)o3)NC(c3nc(-c4ccc(F)cn4)c[nH]3)Cc3c2[nH]c2ccccc32)cn1,5.26,5.741818181818181
1,CCc1nc2cc3c(cc2s1)CCN(CCCSc1nnc(-c2ocnc2C)n1C)CC3,5.9,6.4818181818181815
1,CCc1nc2ccc3c(c2s1)CCN(CCCSc1nnc(-c2ocnc2C)n1C)CC3,5.5,6.618181818181816
